song1	song2	song3	song4	song5	song6	song7	song8	song9	song10	song11	song12	song13	song14	song15	song16	song17	song18	song19	song20	common
Springtime in a Small Town (Xiao cheng zhi chun)	Mask of Zorro, The	Echoes from the Dead (Skumtimmen)	L'homme qui rit	Quiet Man, The	Delhi Belly	I'll Sleep When I'm Dead	Bribe, The	African Queen, The	Bourne Legacy, The	Police State	Wrong Side Up (Pribehy obycejneho silenstvi)	Inner Life of Martin Frost, The	Robber, The (Der Räuber)	Stars and Stripes Forever	Cougars, Inc.	In Eagle Shadow Fist (Ding tian li di) (Fist of Anger)	Johnny Eager	Polar Express, The	Volcano (Eldfjall)	0
Facing Windows (Finestra di fronte, La)	Where East Is East	Fuga de cerebros	Overbrook Brothers, The	Chicken, the Fish and the King Crab, The (El pollo, el pez y el cangrejo real)	Desire: The Vampire	Ladies They Talk About	Mute Witness	Accused (Anklaget)	Ruins	Ayn Rand: A Sense of Life	Thirteen, The (Trinadtsat)	Beslan: Three Days in September	Local Hero	Gentleman's Game, A	Leopard Man, The	Outer Space	Billy the Kid vs. Dracula	Serpent and the Rainbow, The	Words, The	0
Fat, Sick & Nearly Dead 2	Clap, You're Dead	Who Am I? (Wo shi shei)	American Boy: A Profile of: Steven Prince	Série noire	Pieces (Mil gritos tiene la noche) (One Thousand Cries Has the Night)	Little Buddha	Al Capone	Undertow (Contracorriente)	Generation Um...	Angel Heart	Detective Story	Wild Beasts (Wild beasts - Belve feroci)	Better Tomorrow II, A (Ying hung boon sik II)	Broadway Rhythm	Nobody	Children of the Revolution	Don	Godzilla and Mothra: The Battle for Earth (Gojira vs. Mosura)	Mists of Avalon, The	0
Daybreak	Alien³ (a.k.a. Alien 3)	See Here, Private Hargrove	Spirit, The	Eyes Without a Face (Yeux sans visage, Les)	Louis Theroux: Law & Disorder	Bestiaire	Sunset Strip	Getting In	180° South (180 Degrees South) (180° South: Conquerors of the Useless)	Babysitter, The	Ingmar Bergman on Life and Work (Ingmar Bergman: Om liv och arbete)	Iraq in Fragments	Petals on the Wind	Buying the Cow	DOA: Dead or Alive	Savage Messiah	Short Eyes	Gorgon, The	Cromwell	0
Picture Bride (Bijo photo)	Arizona	Waiting...	Storm in Summer, A	Zed & Two Noughts, A	Saw II	Blind Beast (Môjuu)	Young Poisoner's Handbook, The	Affair to Remember, An	Taxidermia	Choke	To Be Twenty	Merry War, A	Saturday Night and Sunday Morning	Seven Year Itch, The	Mrs. Brown's Boys D'Movie	My Dear Desperado	Star Trek: Nemesis	Irene, Go Home! (Irena do domu!)	Two Girls and a Sailor	0
Parallels	Reluctant Debutante, The	Girl in the Park, The	Stranger Among Us, A	Ju-on: The Grudge 2	Virgin Suicides, The	Revolution OS	Wonderful and Loved by All (Underbar och älskad av alla)	Johnny Mnemonic	Drive Hard	Conrack	Convict 13	Day After Trinity, The	My Fair Lady	True Grit	She Monkeys	Hello! How Are You? (Buna! Ce faci?)	Talk of Angels	Sexual Chronicles of a French Family (Chroniques sexuelles d'une famille d'aujourd'hui)	Up in Arms	0
Never Cry Wolf	On a Clear Day	Backbeat	Blood Shack	Haunting in Connecticut, The	Dogs in Space	A Christmas Kiss	Emergency Escape, The (Wyjscie awaryjne)	Dry White Season, A	Necessities of Life, The (Ce qu'il faut pour vivre)	Butchered	Voyage to Cythera (Taxidi sta Kythira)	My Mother's Smile (a.k.a. The Religion Hour) (L'ora di religione) (Il sorriso di mia madre)	Fearless Hyena, The (Xiao quan guai zhao)	On the Edge (Hak bak do)	Day & Night	Crazy Stranger, The (Gadjo Dilo)	Clear History	Stranger than Fiction	Killers	0
Suzhou River (Suzhou he)	Bummer (Bumer)	See You in the Morning	Undead	Bill Maher... But I'm Not Wrong	Hamlet 2	Old Man Made in Spain (Abuelo made in Spain)	At Any Price	Erik the Viking	Camille	Camille Claudel	Killing Fields, The	Day of the Locust, The	Land Before Time II: The Great Valley Adventure, The	Manhattan Project, The	Out of Reach	Before Midnight	Blue Skies	Outlaw, The	Not as a Stranger	0
Protector, The (a.k.a. Warrior King) (Tom yum goong)	Wal-Mart: The High Cost of Low Price	Trances	New Waterford Girl	Kings of the Sun	Comet	Tiger Eyes	Dr. Giggles	Viva Cuba	Déjà Vu	Christine Jorgensen Story, The	Before Flying Back to Earth (Pries parskrendant i zeme)	Matrix Reloaded, The	Back Street	Vice	Snow Angels	Jerusalem Countdown	The Hunters	Night Stalker, The	True Lies	0
Fly Me to the Moon	Dangerous Liaisons	One Chance	The Strange Affair	A Christmas Kiss	War of the Robots (La guerra dei robot)	Road to Perdition	Cause for Alarm!	24 Exposures	Brainscan	Hamlet	Housefull 2	Sound of Insects, The	Alone in the Dark II	Neil Young Journeys	Cargo	Bengazi	My Kid Could Paint That	Wendell Baker Story, The	MC5: Kick Out the Jams	0
Lean on Me	Frozen Ground, The	Meet Me in St. Louis	Eversmile, New Jersey	Out Cold	Woman Is a Woman, A (femme est une femme, Une)	Star Trek: Of Gods and Men	The Boy Who Cried Werewolf	Mr. Klein (Monsieur Klein)	Side by Side	Brotherhood of Justice, The	That's Life!	Made	Hellbound?	Sylvia Scarlett	The Detective 2	Girls on Top 2	Holy Land, The	Pest, The	Crossing the Bridge: The Sound of Istanbul	0
Mission: Impossible	Story of Film: An Odyssey, The	Samurai (Samourais)	Houdini	Sputnik	The Spectacular Now	Daylight	Vision Quest	Calling Bulldog Drummond	Rosemary's Baby	Personal Velocity	Life of Oharu, The (Saikaku ichidai onna)	Moment by Moment	Neighbors	Driller Killer, The	Nobody Else But You (Poupoupidou)	American Heart	Gravity (Schwerkraft)	Breaking the Rules	Taking of Pelham 1 2 3, The	0
Baron of Arizona, The	2:37	Village People	My Winnipeg	Wasp Woman, The	Rutles: All You Need Is Cash, The	Ernest Goes to Africa	Art of Getting By, The	Beats Being Dead (Dreileben - Etwas Besseres als den Tod)	Carny	Golden Boy	Secret Six, The	Bicentennial Man	Bandits	Cruising	Seven Swords (Chat gim)	Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?)	I'm So Excited (Los amantes pasajeros)	Abduction	Unfaithful, The	0
Within the Woods	Berberian Sound Studio	Singing Nun, The	1, 2, 3, Sun (Un, deuz, trois, soleil)	Knucklehead	Defiant Ones, The	Thomas Crown Affair, The	W Delta Z (a.k.a. The Killing Gene)	Man from Planet X, The	Risky Business	In the Good Old Summertime	Dad Savage	Pandora's Box (Büchse der Pandora, Die)	Hong Kong Confidential (Amaya)	Strategy of the Snail, The (Estrategia del Caracol, La)	Public Access	God told Me To	Wild Guitar	Far Country, The	Black Heaven (L'autre monde) (Other World, The)	0
Birders: The Central Park Effect (Central Park Effect, The)	Golem, The (Golem, wie er in die Welt kam, Der)	Peppermint Candy (Bakha satang)	Curly Top	47 Samurai (Chûshingura) (Loyal 47 Ronin, The)	Early Years: Erik Nietzsche Part 1, The (De unge år: Erik Nietzsche)	Amigo	13 Frightened Girls! (Candy Web, The)	Dog Park	Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance)	Machete Kills (Machete 2)	Lions For Lambs	Painting, The (Tableau, Le)	Lara Croft Tomb Raider: The Cradle of Life	They Died with Their Boots On	Some Came Running	Bad Girls (Biches, Les)	I Hate Christian Laettner	Immortal Story, The (Histoire immortelle)	Dororo	0
After the Wedding (Efter brylluppet)	Paradise	Unspeakable Act, The	Above the Law	Golden Boy	Honor Among Lovers	Two Years at Sea	Jonathan Livingston Seagull	Wing and a Prayer	Dr. Horrible's Sing-Along Blog	Cabin Boy	Are You Here	Move (3 Zimmer/Küche/Bad)	Team America: World Police	Who's the Man?	Beastmaster, The	Hatchet III	Greater Promise, A (Iskateli Schastya)	Signs	Dark Circles 	0
Into the White (Cross of Honour)	Sorry, Wrong Number	César	East Side Story	Pure One (Pakeezah)	Saint, The	My Way Home (Így jöttem) 	Amazing Johnathan: Wrong on Every Level	Junior	Shaolin Wooden Men (Shao Lin mu ren xiang)	Rigor Mortis (Geung si)	Fear and Loathing in Las Vegas	Badlanders, The	Pay It Forward	Gun the Man Down	Life and Nothing But (Vie et rien d'autre, La)	Stealing Rembrandt (Rembrandt)	Antboy	Holiday Affair	Boys Next Door, The	0
BFFs	À propos de Nice	King Kelly	Irene, Go Home! (Irena do domu!)	Dark Side of the Heart, The (Lado oscuro del corazón, El)	Blue Caprice	Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers, The	Fermat's Room (La habitación de Fermat)	Strange Invaders	Wings	Mail Order Bride	Catching Hell	Homage	Dhobi Ghat	5 Against the House	Code Name: The Cleaner	Roadie	Questioning Darwin	Doulos, Le	Hercules and the Lost Kingdom	0
Big Shots	Let's Make Money	Tale of Sweeney Todd, The	Big Top Pee-Wee	Nekromantik 2	Firewalker	Sword of Doom, The (Dai-bosatsu tôge)	Italianamerican	Cool Hand Luke	Mouchette	Family Tree	Ivan the Terrible, Part One (Ivan Groznyy I)	Gas, Food, Lodging	Chilly Scenes of Winter (Head Over Heels)	Teen Spirit	Camille Claudel 1915	Once Upon a Time in Queens	Brunet Will Call (Brunet wieczorowa pora)	Show Boat	The Apocalypse	0
Pushing Tin	Human Centipede, The (First Sequence)	Five Easy Pieces	Up!	Carne de gallina (Chicken Skin)	White on Rice	Cathedral, The (Katedra)	Sudden Impact	Evita	Maniacts	Christmas Story, A	Devil and Daniel Johnston, The	Farmer's Daughter, The	One Fine Spring Day (Bomnaleun ganda)	Deadfall	Samsara	Anatomy (Anatomie)	Invincible	How to Train Your Dragon 2	Space Station 76	0
Crazy Love	Saved!	Death King, The (Der Todesking)	Dark City	Big Wednesday	To Be or Not to Be	Kundun	Slumming	M*A*S*H (a.k.a. MASH)	Marjoe	American Kickboxer (American Kickboxer 1)	Santa's Pocket Watch	Just Imagine	Meatballs 4	Alpha and Omega	Still Alice	Extraordinary Adventures of Adèle Blanc-Sec, The	Never Been Kissed	Unstoppable	Every Other Week (Varannan vecka)	0
Battle of Russia, The (Why We Fight, 5)	Sword and the Sorcerer, The	Dead Presidents	Me tulemme taas	Western Union	Be Kind Rewind	Bad Words	Piranha	Fat, Sick & Nearly Dead	Deconstructing Harry	Autumn Heart, The	Bride of Chucky (Child's Play 4)	Pretty Woman	Frances	Dirty Ho (Lan tou He)	Deliverance	Chances Are	Conversations with Other Women	Lemora: A Child's Tale of the Supernatural	City Island	0
Brüno (Bruno)	When Jews Were Funny	No Place to Hide	Bigfoot Lives	In Love and War	Trixie	Broken Vessels	In the Land of Blood and Honey	Much Ado About Nothing	Innocent Affair, An (Don't Trust Your Husband) (Under Suspicion)	Over-Eater, The (L'outremangeur)	Householder, The (Gharbar)	Reconstruction (Anaparastasi)	Barnacle Bill	Miranda	North Country	City Slacker	Cell Count	Fathers' Day	Death in the Garden (Mort en ce jardin, La)	0
Beastmaster, The	Saving Mr. Banks	Vampire Hunter D	Eagle Has Landed, The	Off and Running 	Miracle Woman, The	Shogun's Ninja (Ninja bugeicho momochi sandayu)	Fast Food Nation	Truth About Love, The	King of Kong, The	Arn: The Knight Templar (Arn - Tempelriddaren)	Sealed Cargo	5 Deadly Venoms, The (Wu du) (Five Deadly Venoms)	Spirits of the Dead	Cuban Fury	Garden Lovers (Eedenistä pohjoiseen)	Simple Men	Desert of Forbidden Art, The	Smart Set, The	Everyone's Hero	0
Amish Murder, An	April Captains (Capitães de Abril)	Back in Business	Professor Beware	Samurai Fiction (SF: Episode One)	Navajo Joe	Deception	Great Dictator, The	Snowman, The	House of the Dead, The	Other Son, The (Fils de l'autre, Le)	Endeavour	Will Penny	Curiosity of Chance, The	Three Kingdoms: Resurrection of the Dragon (Saam gwok dzi gin lung se gap)	Lust for Gold	Fine, Totally Fine (Zenzen Daijobu)	At the Circus	Madeinusa	Sword of Doom, The (Dai-bosatsu tôge)	0
Wedding, A	Last Chance: Diary of Comedians, The (Bokutachi no koukan nikki)	Frankenstein 90	Fastest Gun Alive, The	Wyvern	71 Fragments of a Chronology of Chance (71 Fragmente einer Chronologie des Zufalls)	Holcroft Covenant, The	Bananas	Beloved (Les bien-aimées)	Clockstoppers	With Fire and Sword (Ogniem i mieczem)	Eloise at the Plaza	Enemy of the People, An	Way of War, The	Snow White: A Tale of Terror	Last Ride, The	Louis C.K.: Chewed Up	Two for the Money	Stella Maris	McCullochs, The	0
Stroszek	Rent	Wrestling for Jesus: The Tale of T-Money	Violeta Went to Heaven (Violeta se fue a los cielos)	Clubland (a.k.a. Introducing the Dwights)	Villain, The (Ek Villain)	Non-Stop	Cold Comfort Farm	Chain Lightning	Silent Partner	Magician, The (Ansiktet)	Rage: Carrie 2, The	I Was A Communist for the FBI	Bullet in the Head	Friday the 13th Part VII: The New Blood	Resurrected, The	A Cinderella Story: Once Upon a Song	Conan O'Brien Can't Stop	Sunset Park	Kind Lady	0
12 Dates of Christmas	Soul Food	Mighty Joe Young	This Property is Condemned	Survivors, The	Entre nos (Between Us)	Westfront 1918	Every Which Way But Loose	Divergent	The Well	The Indian Fighter	Zombieland	Woody Allen: A Documentary	Kidnapping Mr. Heineken	Lovers and Lollipops	Tortilla Flat	Alice in Wonderland	Pagemaster, The	Aliens	Flash Gordon Conquers the Universe	0
Saga of Gosta Berling, The (Gösta Berlings saga)	Dark Hours, The	Ugly American, The	The Boys	Extraordinary Stories (Historias extraordinarias)	Rock, The	A Bright Shining Lie	All Passion Spent	Lodger: A Story of the London Fog, The	Mr. Denning Drives North	Lagaan: Once Upon a Time in India	What Have They Done to Your Daughters?	Lord Love a Duck	Highlander: The Search for Vengeance	Fear City: A Family-Style Comedy (La cité de la peur)	Three Kingdoms: Resurrection of the Dragon (Saam gwok dzi gin lung se gap)	Stanley & Iris	Goyokin	Monte Carlo	Zombie Apocalypse	0
White God (Fehér isten)	Perfect World, A	Tombs of the Blind Dead (La noche del terror ciego)	Rejs	Second Man, The (O Defteros Andras)	Loco Love (Mi Casa, Su Casa)	Burglars, The (Le casse)	Mindwarp	Spook Who Sat by the Door, The	Amityville Curse, The	Smokers Only (Vagón Fumador)	Crossing, The	Last Hangman, The (Pierrepoint)	Last September, The	So Normal (Normais, Os)	Criminal Law	The Beast Kills in Cold Blood	Horse Boy, The	Teorema	Daddy and Them	0
Nights of Cabiria (Notti di Cabiria, Le)	Sex of Angels, The (El sexo de los ángeles)	Three Brothers 2, The (Les trois frères, le retour)	Morituri	Pitch Perfect	Last Unicorn, The	Shepard & Dark	Cutlet for Three (Ein Schnitzel für drei)	Triple Cross	Errors of the Human Body 	One Million Years B.C.	Still Mine	Client List, The	Only the Strong	Lemora: A Child's Tale of the Supernatural	Mississippi Masala	Focus	The Island	Woman in Red, The	Zero Kelvin (Kjærlighetens kjøtere)	0
Puccini for Beginners	42 Up	Nightmare	Intended, The	From Beijing with Love	Mona and the Time of Burning Love (Mona ja palavan rakkauden aika))	Marketa Lazarová	There's Always A Woman	Mass Transit	Blood Ties	Punksters & Youngsters (Punk - Tauti joka ei tapa)	13B	Calle 54	12 Angry Men	Big Hand for the Little Lady, A	Merry Christmas Mr. Lawrence	Medicine Man	2 Days in the Valley	Milk and Honey	Apartment 4E 	0
Blood, Guts, Bullets and Octane	Beaches of Agnes, The (Plages d'Agnès, Les)	Underworld: Rise of the Lycans	Disappearance of Alice Creed, The	Trespasser, The	Fuse (Gori vatra)	Colt 38 Special Squad	Storage	Usual Suspects, The	On the Edge (Hak bak do)	MC5: Kick Out the Jams	How Green Was My Valley	Face in the Crowd, A	Teen Witch	Breakaway (Speedy Singhs)	Another Cinderella Story	Charly	Pandora's Box	Carnages (a.k.a. Carnage)	It's a Bird	0
Photos in the City of Sylvia (Unas fotos en la ciudad de Sylvia)	Deux mondes, Les	House of Exorcism, The (a.k.a. Lisa and the Devil) (Casa dell'esorcismo, La)	Career Girls	Vagabond (Sans toit ni loi)	First Wives Club, The	Quills	A Life in Dirty Movies	That Day (Ce jour-là)	Enough	Circus, The	Mater and the Ghostlight	EMR	Justin and the Knights of Valour	Don't Think About It (Non Pensarci)	Girl From Paris, A (hirondelle a fait le printemps, Une)	Holy Flying Circus	Helen of Troy	Wild Strawberries (Smultronstället)	White Mischief	0
Adam Resurrected	Zeus and Roxanne	Medallion, The	Cat People	Oldboy	Lord of the Rings, The	A Justified Life: Sam Peckinpah and the High Country	Boat Trip	Casper	Easy to Love	Kiss of the Dragon	Wallace & Gromit: A Close Shave	Cinderella	Miracle at St. Anna	Corruption (a.k.a. Carnage)	Fall of the House of Usher, The (Zánik domu Usheru)	Onionhead	Meek's Cutoff	His Secret Life (a.k.a. Ignorant Fairies, The) (Fate ignoranti, Le)	History of the Eagles	0
How Much Wood Would a Woodchuck Chuck (Beobachtungen zu einer neuen Sprache)	Yes Men Fix the World, The	Man Who Copied, The (Homem Que Copiava, O)	Photographing Fairies	We All Loved Each Other So Much (C'eravamo tanto amati)	Mad Love (Juana la Loca)	Our Little Girl	Killer: A Journal of Murder	Tyrannosaur	He Got Game	Singles	Ararat	Monkeybone	Cold Prey II (Fritt Vilt II)	Ai Weiwei: Never Sorry	Dangerous Lives of Altar Boys, The	What the Day Owes the Night	Street Fight	Pusher	All the Light in the Sky	0
Suur Tõll	On the Beach	My Man Godfrey	Faces of Death: Fact or Fiction?	Below the Belt	Black Sun (Kuroi taiyô)	This Christmas	My Lady Margarine (Die Austernprinzessin) (Oyster Princess, The)	Statement, The	Great Flamarion, The	Nostalgia for the Light (Nostalgia de la luz)	Mystery of Picasso, The (Le mystère Picasso)	Skeleton Crew	Army of Crime (L'armée du crime)	Ladybird Ladybird	Princess and the Pirate, The	S.W.A.T.	Bogus	White Balloon, The (Badkonake sefid)	Giant Mechanical Man, The	0
Thank You a Lot	Married to It	You Are the Apple of My Eye	Two Friends	Starflight: The Plane That Couldn't Land	Living on One Dollar	Akeelah and the Bee	Girl in the Park, The	Film About a Woman Who...	Halo Legends	(Absolutions) Pipilotti's Mistakes ((Entlastungen) Pipilottis Fehler)	Beyond a Reasonable Doubt	The Brave Little Toaster Goes to Mars	Thriller: A Cruel Picture (Thriller - en grym film)	Head Office	Just Between Friends	Murder on a Honeymoon	Gagarin: First in Space	Numbskull Emptybrook (Uuno Turhapuro)	Once Upon a Time in the Midlands	0
Sons of the Desert	Messenger: The Story of Joan of Arc, The	A.I. Artificial Intelligence	Santa Claus Has Blue Eyes (Le père Noël a les yeux bleus)	The Killing Jar	Block Party (a.k.a. Dave Chappelle's Block Party)	Goodbye, 20th Century	Police Academy 2: Their First Assignment	As You Like It	Zotz!	Zatoichi and the Doomed Man (Zatôichi sakate giri) (Zatôichi 11)	Sparks	City of Violence, The (Jjakpae)	Woman on Top	Shall We Dance	Touch of Evil	Good Man, A (Un buen hombre)	Boom!	Rusalochka (The Little Mermaid)	Losin' It	0
Public Enemy, The	Home	Napoleon	King Boxer: Five Fingers of Death (Tian xia di yi quan)	All I Want for Christmas	When I Walk	Bedazzled	Escanaba in da Moonlight	Beach Party	Steel Magnolias	Cyrano de Bergerac	Spaceballs	One Potato, Two Potato	The Diary of a Teenage Girl	Prom Night	God Help the Girl	Beyond the Mind's Eye	Baghban	She-Devil	Dirty	0
Boundin'	Serendipity	Fire Over England	Margaret Cho: Assassin	Gold Raiders	Bananaz	Last Kiss, The (Ultimo bacio, L')	Hugo Pool	Daughters of Darkness (Les lèvres rouges)	Tokio Baby	Lost in America	Little Criminals	Spice World	Undefeated	Shadows	Last Godfather, The	Darwin's Nightmare	Angels with Dirty Faces	La Soufrière - Warten auf eine unausweichliche Katastrophe	Road to Zanzibar	0
Young Doctors in Love	Swan Princess, The	Puppet Master: Axis of Evil (Puppet Master 10)	Eddie and the Cruisers	The Tattooist	Shinjuku Incident (San suk si gin)	Moon Over Parador	Unfaithful, The	Nokas	Hana and Alice (Hana to Arisu)	Absent (Ausente)	Love You You	Cremaster 2	Katt Williams: The Pimp Chronicles Pt. 1	Skulls, The	Bob le Flambeur	Under the Cherry Moon	Butterfly on a Wheel (Shattered)	Great Gabbo, The	Satan's Brew (Satansbraten)	0
Dragon Fist (Long quan)	Big Shot's Funeral (Da Wan)	Monkey's Teeth (Dents du singe, Les)	Brave New World	Juan of the Dead (Juan de los Muertos)	Saving God	What About Bob?	Late Mathias Pascal, The (a.k.a. The Living Dead Man) (Feu Mathias Pascal)	High Risk	Soloalbum	Crazy Horse	Carmina and Amen (Carmina y amén)	Terminal Velocity	Babel	Pale Flower (Kawaita hana)	Duck Season (Temporada de patos)	Newsies	Sunday	Laws of Gravity	Prata Palomares	0
